City,Month,Max Temp,Min Temp
New Orleans,September,26.2,-79.2
New Orleans,October,21.6,-70.8
New Orleans,November,16.8,-62.2
New Orleans,December,12.9,-55.2
New York,January,0.6,-33
New York,February,2.1,-35.7
New York,March,6.1,-42.9
New York,April,11.9,-53.4
New York,May,17.1,-62.8
New York,June,22.1,-71.8
New York,July,24.9,-76.9
New York,August,24.3,-75.7
New York,September,20.2,-68.4
New York,October,14.1,-57.3
New York,November,8.9,-48.1
New York,December,3.3,-37.9
Oklahoma,January,3.6,-38.4
Oklahoma,February,6.1,-42.9
Oklahoma,March,10.7,-51.3
Oklahoma,April,15.6,-60.1
Oklahoma,May,20.6,-69
Oklahoma,June,25.1,-77.1
Oklahoma,July,27.8,-82.1
Oklahoma,August,27.6,-81.6
Oklahoma,September,22.8,-73.1
Oklahoma,October,16.5,-61.7
Oklahoma,November,9.9,-49.9
Oklahoma,December,4.3,-39.7
Omaha,January,−4.6,-23.7
Omaha,February,−2.1,-28.3
Omaha,March,4.2,-39.5
Omaha,April,10.9,-51.7
Omaha,May,16.9,-62.5
Omaha,June,22.3,-72.2
Omaha,July,24.8,-76.7
Omaha,August,23.7,-74.6
Omaha,September,18.8,-65.9
Omaha,October,11.8,-53.3
Omaha,November,3.8,-38.9
Omaha,December,−3.3,-26.1
Palm Springs,January,16.3,-61.3
Palm Springs,February,18.1,-64.5
Palm Springs,March,20.7,-69.2
Palm Springs,April,23.7,-74.6
Palm Springs,May,26.8,-80.3
Palm Springs,June,30.7,-87.3
Palm Springs,July,33.8,-92.8
Palm Springs,August,33.6,-92.5
Palm Springs,September,30.5,-86.9
Palm Springs,October,24.9,-76.8
Palm Springs,November,19.2,-66.6
Palm Springs,December,15.7,-60.2
Philadelphia,January,0.5,-32.9
Philadelphia,February,2,-35.6
Philadelphia,March,6.4,-43.5
Philadelphia,April,12.2,-54
Philadelphia,May,17.7,-63.8
Philadelphia,June,22.9,-73.2
Philadelphia,July,25.6,-78.1
Philadelphia,August,24.7,-76.5
Philadelphia,September,20.6,-69.1
Philadelphia,October,14.2,-57.5
Philadelphia,November,8.7,-47.6
Philadelphia,December,3,-37.4
Phoenix,January,13.6,-56.5
Phoenix,February,15.4,-59.8
Phoenix,March,18.5,-65.3
Phoenix,April,22.7,-72.8
Phoenix,May,27.8,-82.1
Phoenix,June,32.7,-90.9
Phoenix,July,34.9,-94.8
Phoenix,August,34.2,-93.6
Phoenix,September,31.3,-88.4
Phoenix,October,24.8,-76.7
Phoenix,November,17.9,-64.2
Phoenix,December,13.1,-55.5
Pittsburgh,January,−1.9,-28.5
Pittsburgh,February,−0.4,-31.3
Pittsburgh,March,4.3,-39.8
Pittsburgh,April,10.6,-51.1
Pittsburgh,May,15.7,-60.2
Pittsburgh,June,20.5,-68.9
Pittsburgh,July,22.7,-72.8
Pittsburgh,August,22,-71.6
Pittsburgh,September,17.9,-64.3
Pittsburgh,October,11.6,-52.9
Pittsburgh,November,6.2,-43.1
Pittsburgh,December,0.3,-32.5
Portland ,January,5.2,-41.4
Portland ,February,6.6,-43.8
Portland ,March,8.9,-48.1
Portland ,April,11.3,-52.3
Portland ,May,14.6,-58.3
Portland ,June,17.6,-63.6
Portland ,July,20.7,-69.2
Portland ,August,20.9,-69.6
Portland ,September,18.1,-64.5
Portland ,October,12.7,-54.9
Portland ,November,8.1,-46.6
Portland ,December,4.7,-40.4
Sacramento,January,8.1,-46.6
Sacramento,February,10.6,-51.1
Sacramento,March,12.7,-54.9
Sacramento,April,15,-59
Sacramento,May,18.8,-65.8
Sacramento,June,22.1,-71.7
Sacramento,July,24.2,-75.5
Sacramento,August,23.8,-74.9
Sacramento,September,22.1,-71.7
Sacramento,October,17.9,-64.2
Sacramento,November,11.9,-53.5
Sacramento,December,8,-46.4
Salt Lake,January,−1.3,-29.6
Salt Lake,February,1.3,-34.3
Salt Lake,March,6.6,-43.8
Salt Lake,April,10.4,-50.7
Salt Lake,May,15.5,-59.9
Salt Lake,June,21.1,-69.9
Salt Lake,July,26.1,-78.9
Salt Lake,August,25.1,-77.2
Salt Lake,September,19.1,-66.3
Salt Lake,October,11.8,-53.2
Salt Lake,November,4.6,-40.2
Salt Lake,December,−0.8,-30.5
San Antonio,January,11,-51.8
San Antonio,February,13.1,-55.6
San Antonio,March,16.8,-62.2
San Antonio,April,20.8,-69.5
San Antonio,May,25,-77
San Antonio,June,28.1,-82.5
San Antonio,July,29.3,-84.7
San Antonio,August,29.7,-85.4
San Antonio,September,26.6,-79.8
San Antonio,October,21.8,-71.3
San Antonio,November,16.2,-61.2
San Antonio,December,11.6,-52.9
San Diego,January,14.2,-57.6
San Diego,February,14.7,-58.4
San Diego,March,15.5,-59.9
San Diego,April,16.8,-62.3
San Diego,May,18.1,-64.5
San Diego,June,19.4,-67
San Diego,July,21.4,-70.5
San Diego,August,22.2,-72
San Diego,September,21.7,-71
San Diego,October,19.6,-67.2
San Diego,November,16.6,-61.8
San Diego,December,13.9,-57.1
San Francisco,January,11.2,-52.1
San Francisco,February,12.6,-54.7
San Francisco,March,13.3,-56
San Francisco,April,13.9,-57.1
San Francisco,May,14.7,-58.5
San Francisco,June,15.8,-60.5
San Francisco,July,16.3,-61.3
San Francisco,August,16.9,-62.5
San Francisco,September,17.5,-63.5
San Francisco,October,16.8,-62.3
San Francisco,November,14.1,-57.4
San Francisco,December,11.4,-52.5
San Jose,January,10.8,-51.5
San Jose,February,12.5,-54.5
San Jose,March,13.8,-56.9
San Jose,April,15.2,-59.3
San Jose,May,17.8,-64
San Jose,June,20.2,-68.3
San Jose,July,21.6,-70.9
San Jose,August,21.8,-71.2
San Jose,September,20.7,-69.2
San Jose,October,17.9,-64.3
San Jose,November,13.9,-57
San Jose,December,10.6,-51.1
Seattle,January,5.4,-41.8
Seattle,February,6.2,-43.2
Seattle,March,7.9,-46.3
Seattle,April,10.1,-50.2
Seattle,May,13.2,-55.8
Seattle,June,15.9,-60.7
Seattle,July,18.6,-65.5
Seattle,August,18.8,-65.9
Seattle,September,16.2,-61.1
Seattle,October,11.4,-52.6
Seattle,November,7.4,-45.3
Seattle,December,4.7,-40.4
St. Louis,January,−0.1,-31.8
St. Louis,February,2.4,-36.3
St. Louis,March,7.9,-46.3
St. Louis,April,14.1,-57.3
St. Louis,May,19.3,-66.8
St. Louis,June,24.4,-75.9
St. Louis,July,26.7,-80
St. Louis,August,25.9,-78.6
St. Louis,September,21.3,-70.4
St. Louis,October,14.8,-58.7
St. Louis,November,8.2,-46.8
St. Louis,December,1.6,-34.8
Tampa,January,15.9,-60.6
Tampa,February,17.3,-63.2
Tampa,March,19.5,-67.1
Tampa,April,22.1,-71.7
Tampa,May,25.7,-78.2
Tampa,June,27.8,-82
Tampa,July,28.2,-82.8
Tampa,August,28.3,-83
Tampa,September,27.5,-81.5
Tampa,October,24.4,-76
Tampa,November,20.6,-69
Tampa,December,17.2,-63
Tucson,January,11.6,-52.9
Tucson,February,13.1,-55.6
Tucson,March,15.8,-60.5
Tucson,April,19.7,-67.4
Tucson,May,24.6,-76.3
Tucson,June,29.6,-85.2
Tucson,July,30.8,-87.4
Tucson,August,29.8,-85.7
Tucson,September,27.7,-81.9
Tucson,October,21.9,-71.4
Tucson,November,15.6,-60.1
Tucson,December,11.3,-52.3
Virginia,January,4.9,-40.8
Virginia,February,6.1,-43
Virginia,March,9.8,-49.7
Virginia,April,14.8,-58.6
Virginia,May,19.4,-67
Virginia,June,24.3,-75.7
Virginia,July,26.7,-80
Virginia,August,25.7,-78.3
Virginia,September,22.6,-72.6
Virginia,October,16.9,-62.4
Virginia,November,11.8,-53.2
Virginia,December,6.9,-44.5
Washington DC,January,2.3,-36.1
Washington DC,February,3.9,-39.1
Washington DC,March,8.3,-46.9
Washington DC,April,13.8,-56.9
Washington DC,May,18.9,-66.1
Washington DC,June,24.1,-75.3
Washington DC,July,26.6,-79.8
Washington DC,August,25.7,-78.2
Washington DC,September,21.7,-71.1
Washington DC,October,15.3,-59.6
Washington DC,November,9.8,-49.6
Washington DC,December,4.3,-39.8
Wichita,January,0.1,-32.2
Wichita,February,2.9,-37.2
Wichita,March,8.1,-46.5
Wichita,April,13.4,-56.1
Wichita,May,18.9,-66
Wichita,June,24.3,-75.8
Wichita,July,27.3,-81.1
Wichita,August,26.7,-80
Wichita,September,21.7,-71
Wichita,October,14.6,-58.3
Wichita,November,7.4,-45.4
Wichita,December,0.9,-33.7
